マスター,地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,資源物（紙・布類、ビン・缶）,燃えないごみ,ペットボトル,
1,愛敬町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
1,赤松町9番37号・12番の南側,佐賀市清掃工場,火 金,木1 木3,木2 木4,水2 水4,J
1,赤松町（上記以外）,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
1,朝日町,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
1,伊勢町,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
1,今宿町,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
1,駅前中央一丁目1番,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
1,駅前中央一丁目（上記以外）,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
1,駅前中央二・三丁目,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
1,駅南本町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
1,大財北町,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
1,大財一丁目,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
1,大財二丁目,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
1,大財三丁目,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
1,大財四～五丁目,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
1,大財六丁目1番26～30号,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
1,大財六丁目（上記以外）,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
1,鬼丸町,佐賀市清掃工場,火 金,木1 木3,木2 木4,水2 水4,J
1,卸本町,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
2,開成一～六丁目,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
2,嘉瀬町（大字十五1555・2876・2918番地）,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
2,嘉瀬町（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
2,神園一～六丁目,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
2,川原町,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
2,北川副町,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
2,木原一～三丁目,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
2,金立町（大字金立3493・3494・3506番）,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
2,金立町（大字薬師丸117・1575・1616番）,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
2,金立町（上記以外）,佐賀市清掃工場,月 木,水2 水4,水1 水3 20231230,水1 水3 20231230,L
2,久保泉町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
2,神野西一丁目（5番）,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
2,神野西一丁目（上記以外）,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
2,神野西二丁目〜四丁目,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
2,神野東一～四丁目,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
2,巨勢町（大字東西）,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
2,巨勢町（上記以外）,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
2,呉服元町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
2,紺屋町,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
3,材木一・二丁目,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
3,栄町,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
3,道祖元町,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
3,下田町,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
3,昭栄町1番・3番2～4号・3番6～11号・4番1～13号,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
3,昭栄町（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
3,城内一〜二丁目,佐賀市清掃工場,月 木,水2 水4,水1 水3 20231230,水1 水3 20231230,L
3,精町,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
3,白山一〜二丁目,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
3,新栄西一〜二丁目,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
3,新栄東一～四丁目,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
3,新郷本町,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
3,新生町（1番、2番,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
3,新生町（5番）,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
3,新生町（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
3,新中町,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
3,末広一〜二丁目,佐賀市清掃工場,火 金,木2 木4,木1 木3,水2 水4,K
3,成章町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
4,高木町,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
4,高木瀬町大字長瀬（263号線バイパス以西）,佐賀市清掃工場,火 金,水1 水3 20231230,水2 水4,水2 水4,H
4,高木瀬町大字長瀬（263号線バイパス以東）,佐賀市清掃工場,月 木,水1 水3 20231230,水2 水4,水1 水3 20231230,C
4,高木瀬町大字東高木（231番、223番8号、221番1号）,佐賀市清掃工場,月 木,火1 火3 20231229,火2 火4,水1 水3 20231230,A
4,高木瀬町大字東高木（上記以外）,佐賀市清掃工場,月 木,水1 水3 20231230,水2 水4,水1 水3 20231230,C
4,高木瀬団地,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
4,高木瀬西一～六丁目,佐賀市清掃工場,火 金,水1 水3 20231230,水2 水4,水2 水4,H
4,高木瀬東一～六丁目,佐賀市清掃工場,月 木,水1 水3 20231230,水2 水4,水1 水3 20231230,C
4,田代一〜二丁目,佐賀市清掃工場,月 木,火2 火4,火1 火3 20231229,水1 水3 20231230,B
4,多布施一〜二丁目,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
4,多布施三丁目,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
4,多布施四丁目,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
4,中央本町,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
4,天神一～三丁目,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
4,天祐一〜二丁目,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
4,天祐団地,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
4,唐人一〜二丁目,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
5,中折町（7～12番）,佐賀市清掃工場,火 金,月1 月3 20231231,月2 月4,水2 水4,F
5,中折町（上記以外）,佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
5,中の小路,佐賀市清掃工場,月 木,金2 金4,金1 金3,水1 水3 20231230,E
5,中の館町,佐賀市清掃工場,月 木,金1 金3,金2 金4,水1 水3 20231230,D
5,長瀬町(7番12号 ~ 25号),佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
5,長瀬町(上記以外),佐賀市清掃工場,火 金,水2 水4,水1 水3 20231230,水2 水4,I
5,鍋島一～六丁目,佐賀市清掃工場,火 金,水1 水3 20231230,水2 水4,水2 水4,H
5,鍋島町大字蛎久（647番22号）,佐賀市清掃工場,火 金,水1 水3 20231230,水2 水4,水2 水4,H
5,鍋島町大字蛎久（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
5,鍋島町大字鍋島311番、1780〜1795番地（木ノ角自治会）,佐賀市清掃工場,火 金,水1 水3 20231230,水2 水4,水2 水4,H
5,鍋島町大字鍋島（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
5,鍋島町大字森田（360～394番地（江頭自治会））,佐賀市清掃工場,火 金,木1 木3,木2 木4,水2 水4,J
5,鍋島町大字森田（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
5,鍋島町大字八戸1610番8～13号・1614番8～9号・1620番1号・1623番1号,佐賀市清掃工場,火 金,木1 木3,木2 木4,水2 水4,J
5,鍋島町大字八戸（上記以外）,佐賀市清掃工場,火 金,月2 月4,月1 月3 20231231,水2 水4,G
